Cat,SMILES
S1005,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=N[NH]3)\C=C\C4=CC=CC=N4
S1007,CC1=NC(=C(O)C2=C1C=C(OC3=CC=CC=C3)C=C2)C(=O)NCC(O)=O
S1008,C[N]1C=NC2=C(F)C(=C(C=C12)C(=O)NOCCO)NC3=CC=C(Br)C=C3Cl
S1010,COC(=O)C1=CC=C\2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)N(C)C(=O)CN4CCN(C)CC4)/C5=CC=CC=C5
S1011,CN(C)C/C=C/C(=O)NC1=CC2=C(NC3=CC=C(F)C(=C3)Cl)N=CN=C2C=C1OC4CCOC4
S1013,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O
S1014,COC1=C(Cl)C=C(Cl)C(=C1)NC2=C(C=NC3=CC(=C(OC)C=C23)OCCCN4CCN(C)CC4)C#N
S1021,CC1=NC(=CC(=N1)N2CCN(CCO)CC2)NC3=NC=C(S3)C(=O)NC4=C(Cl)C=CC=C4C
S1022,COC1CC(CCC1O[P](C)(C)=O)CC(C)C2CC(=O)C(C)\C=C(C)\C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C(C)/C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N4CCCCC4C(=O)O2)OC
S1025,COC1=C(OCCCN2CCOCC2)C=C3C(=NC=NC3=C1)NC4=CC=C(F)C(=C4)Cl
S1026,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C)C(=C3)NC4=NC=CC(=N4)C5=CC=CN=C5.C[S](O)(=O)=O
S1028,CC1=CC=C(C=C1)[S](O)(=O)=O.CC2=CC=C(C=C2)[S](O)(=O)=O.C[S](=O)(=O)CCNCC3=CC=C(O3)C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(=C7)F)C(=C6)Cl)C5=C4
